date,clicks,impressions,ctr,position
2025-04-04,2,38,0.05263157894736842,26.263157894736842
2025-04-05,2,33,0.06060606060606061,30.545454545454547
2025-04-06,1,47,0.02127659574468085,24.127659574468087
2025-04-07,0,54,0,20.98148148148148
2025-04-08,1,31,0.03225806451612903,30.096774193548388
2025-04-09,2,39,0.05128205128205128,23.076923076923077
2025-04-10,1,42,0.023809523809523808,28.404761904761905
2025-04-11,2,57,0.03508771929824561,25.82456140350877
2025-04-12,0,45,0,28.333333333333332
2025-04-13,1,41,0.024390243902439025,29.853658536585368
2025-04-14,4,42,0.09523809523809523,26.357142857142858
2025-04-15,1,30,0.03333333333333333,36.6
2025-04-16,6,50,0.12,25.6
2025-04-17,1,30,0.03333333333333333,34.666666666666664
2025-04-18,0,36,0,30.88888888888889
2025-04-19,4,42,0.09523809523809523,37.523809523809526
2025-04-20,2,47,0.0425531914893617,33.723404255319146
2025-04-21,1,60,0.016666666666666666,30.616666666666667
2025-04-22,0,45,0,35.266666666666666
2025-04-23,0,60,0,26.666666666666668
2025-04-24,1,41,0.024390243902439025,36.390243902439025
2025-04-25,1,46,0.021739130434782608,38.80434782608695
2025-04-26,0,34,0,28.764705882352942
2025-04-27,0,56,0,32.125
2025-04-28,4,51,0.0784313725490196,27.11764705882353
2025-04-29,1,57,0.017543859649122806,25.63157894736842
2025-04-30,1,41,0.024390243902439025,26.902439024390244
2025-05-01,1,47,0.02127659574468085,28.574468085106382
2025-05-02,2,57,0.03508771929824561,31.29824561403509
2025-05-03,1,57,0.017543859649122806,26.36842105263158
2025-05-04,0,53,0,29.735849056603772
2025-05-05,1,43,0.023255813953488372,31.674418604651162
2025-05-06,0,49,0,30
2025-05-07,1,41,0.024390243902439025,31.4390243902439
2025-05-08,6,67,0.08955223880597014,26.26865671641791
2025-05-09,0,39,0,31.794871794871796
2025-05-10,1,52,0.019230769230769232,26.076923076923077
2025-05-11,0,44,0,31.386363636363637
2025-05-12,0,57,0,27.350877192982455
2025-05-13,2,53,0.03773584905660377,22.69811320754717
2025-05-14,1,52,0.019230769230769232,25.923076923076923
2025-05-15,1,71,0.014084507042253521,37.521126760563384
2025-05-16,2,55,0.03636363636363636,23.854545454545455
2025-05-17,1,39,0.02564102564102564,31.435897435897434
2025-05-18,0,65,0,32.246153846153845
2025-05-19,3,53,0.05660377358490566,32.73584905660377
2025-05-20,2,56,0.03571428571428571,30.75
2025-05-21,1,52,0.019230769230769232,29
2025-05-22,3,49,0.061224489795918366,28.448979591836736
2025-05-23,1,68,0.014705882352941176,24.558823529411764
2025-05-24,2,62,0.03225806451612903,26.161290322580644
2025-05-25,1,56,0.017857142857142856,28.785714285714285
2025-05-26,1,52,0.019230769230769232,24.73076923076923
2025-05-27,1,72,0.013888888888888888,24.291666666666668
2025-05-28,0,61,0,25.311475409836067
2025-05-29,3,57,0.05263157894736842,25.68421052631579
2025-05-30,1,59,0.01694915254237288,24.423728813559322
2025-05-31,1,56,0.017857142857142856,27.25
2025-06-01,3,58,0.05172413793103448,28.74137931034483
2025-06-02,1,90,0.011111111111111112,45.15555555555556
2025-06-03,0,67,0,26.074626865671643
2025-06-04,2,68,0.029411764705882353,21.352941176470587
2025-06-05,1,44,0.022727272727272728,26.545454545454547
2025-06-06,1,56,0.017857142857142856,23.482142857142858
2025-06-07,6,65,0.09230769230769231,27.307692307692307
2025-06-08,2,58,0.034482758620689655,35.206896551724135
2025-06-09,0,80,0,30.4875
2025-06-10,1,65,0.015384615384615385,23.107692307692307
2025-06-11,0,62,0,23.532258064516128
2025-06-12,1,60,0.016666666666666666,24.033333333333335
2025-06-13,1,66,0.015151515151515152,24.575757575757574
2025-06-14,0,58,0,23.396551724137932
2025-06-15,0,72,0,19.65277777777778
2025-06-16,0,92,0,32.29347826086956
2025-06-17,5,65,0.07692307692307693,28.338461538461537
2025-06-18,0,53,0,26.60377358490566
2025-06-19,1,77,0.012987012987012988,26.441558441558442
2025-06-20,2,91,0.02197802197802198,25.67032967032967
2025-06-21,3,54,0.05555555555555555,23.203703703703702
2025-06-22,1,60,0.016666666666666666,20.95
